cell_id,HYBAS_ID,weight
0,7120515330,1.0
1,7120515330,0.881386698539752
1,7120515340,0.11861330146024796
2,7120515330,0.10227790979313293
2,7120515340,0.8977220902068671
18,7120515330,0.7954170744657614
18,7120515340,0.20458292553423846
19,7120515330,0.07089831939731785
19,7120515340,0.8732102809571403
19,7120521510,0.008519752127114548
19,7120521580,0.04737164751842744
36,7120515330,0.08649516627918412
36,7120515340,0.8869002647033758
36,7120521580,0.026604569017440124
3,7120515340,0.965331175882056
3,7120521510,0.034668824117943906
4,7120515340,0.27253900952108384
4,7120514140,0.7008650556081705
4,7120512940,0.0265959348707457
20,7120515340,0.30316372438156575
20,7120521510,0.672629201916632
20,7120521580,0.0242070737018022
21,7120515340,0.08820574487525974
21,7120521510,0.9117942551247403
22,7120515340,0.14000230542263742
22,7120521510,0.2520939035666338
22,7120514140,0.007617486841763927
22,7120512940,0.6002863041689648
37,7120515340,0.4070238790014625
37,7120521580,0.5929761209985375
54,7120515340,0.3546676012949378
54,7120521580,0.5379197597850849
54,7121064580,0.10741263891997735
38,7120521510,0.45223438443740455
38,7120521580,0.5477656155625954
39,7120521510,1.0
40,7120521510,0.8651281691460779
40,7120512940,0.047351775768074464
40,7120519340,0.08752005508584768
56,7120521510,0.08935674597349579
56,7120521580,0.9106432540265043
57,7120521510,1.0
58,7120521510,0.7442109634140367
58,7120519340,0.2557890365859634
74,7120521510,0.00010146911175465666
74,7120521580,0.9998985308882453
75,7120521510,0.8480379057369295
75,7120521580,0.15196209426307045
76,7120521510,0.7853621098792476
76,7120519340,0.21463789012075252
77,7120521510,0.00011358650809056765
77,7120519340,0.9998864134919094
93,7120521510,0.27585095212023514
93,7120521580,0.724149047879765
94,7120521510,0.943227937731055
94,7120521580,0.05677206226894512
95,7120521510,0.11780405052775839
95,7120519340,0.8467739051678631
95,7120522290,0.03542204430437843
112,7120521510,0.08010578524040124
112,7120521580,0.6992037312714616
112,7120522290,0.2206904834881373
113,7120521510,0.0009956253607671089
113,7120519340,0.4175043214272503
113,7120522290,0.5815000532119826
5,7120514140,0.5265285867441949
5,7120512940,0.4734714132558053
6,7120514140,0.0023672952220400822
6,7120512940,0.8511511944273403
6,7121062290,0.1464815103506196
7,7120512940,0.3782269042844794
7,7121062290,0.6217730957155205
23,7120512940,0.8441082054427546
23,7121062290,0.14675165160530984
23,7120518920,0.009140142951935555
24,7120512940,0.08078370573989692
24,7121062290,0.9192162942601031
41,7120512940,0.06890191665496448
41,7121062290,0.006722921265700903
41,7120518920,0.6142509098100168
41,7120519340,0.3101242522693178
8,7121062290,1.0
9,7121062290,1.0
10,7121062290,0.2095964436208265
10,7121061260,0.5111373353280337
10,7121061650,0.27926622105113974
25,7121062290,1.0
26,7121062290,1.0
27,7121062290,0.9724445700807199
27,7120518930,0.02755542991928023
28,7121062290,0.6399903497307916
28,7121061260,0.09539305500852398
28,7121061650,0.2646165952606844
29,7121062290,0.005185387743054107
29,7121061650,0.9948146122569459
42,7121062290,0.14335458920013588
42,7120518920,0.8066109367193495
42,7120519340,0.050034474080514764
43,7121062290,0.6948635822666915
43,7120518920,0.1969946733251405
43,7120518930,0.10814174440816796
44,7121062290,0.7519385786636941
44,7120518930,0.24806142133630577
45,7121062290,0.01201499876019335
45,7120518930,0.9879850012398066
46,7121062290,0.31214776743481265
46,7120518930,0.557028038624156
46,7121064040,0.13082419394103123
47,7121062290,0.3164351068171982
47,7121061650,0.417841716430992
47,7121062170,0.08669072932293224
47,7120518930,0.012811157466400167
47,7121064040,0.1662212899624775
61,7121062290,0.001558353292648507
61,7120518920,0.1423138698826941
61,7120518930,0.356960921764213
61,7120519340,0.03976461015846178
61,7120519350,0.4594022449019827
62,7121062290,0.0006151039486877649
62,7120518930,0.9993848960513122
11,7121061650,1.0
12,7121061650,1.0
13,7121061650,0.43696460632724254
13,7121062170,0.5630353936727573
14,7121061650,0.04731184807021817
14,7121062170,0.9526881519297818
30,7121061650,0.4876942898724211
30,7121062170,0.5123057101275789
31,7121061650,2.1180810844064188e-05
31,7121062170,0.999978819189156
48,7121061650,0.03755966623592063
48,7121062170,0.9624403337640793
65,7121061650,0.0011474990186253785
65,7121062170,0.005001511250389015
65,7121064040,0.9938509897309856
15,7121062170,0.7314399871498829
15,7120513490,0.1427143340541416
15,7121062720,0.12584567879597539
32,7121062170,0.878742367787272
32,7121062720,0.12125763221272814
33,7121062170,0.3588694546561232
33,7121062720,0.6411305453438768
49,7121062170,0.5834590529216541
49,7121062720,0.4165409470783459
50,7121062170,0.012246304340600362
50,7121062720,0.9256575187141407
50,7120518940,0.062096176945258943
66,7121062170,0.17015243089562174
